89338;545;713;422;619;846;743;835;877;732;864;891;797;0;883;344
545;64038;803;0;0;0;0;0;0;0;0;0;0;0;0;0
713;803;87592;1076;0;0;0;0;0;0;0;0;0;0;0;0
422;0;1076;52230;1172;0;0;0;0;0;0;0;0;0;0;0
619;0;0;1172;56934;1267;0;0;0;0;0;0;0;0;0;0
846;0;0;0;1267;64000;1451;0;0;0;0;0;0;0;0;0
743;0;0;0;0;1451;70204;1542;0;0;0;0;0;0;0;0
835;0;0;0;0;0;1542;75572;1709;0;0;0;0;0;0;0
877;0;0;0;0;0;0;1709;85266;1737;0;0;0;0;0;0
732;0;0;0;0;0;0;0;1737;87842;1628;0;0;0;0;0
864;0;0;0;0;0;0;0;0;1628;85604;1494;0;0;0;0
891;0;0;0;0;0;0;0;0;0;1494;81908;1311;0;0;0
797;0;0;0;0;0;0;0;0;0;0;1311;80222;0;1268;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
883;0;0;0;0;0;0;0;0;0;0;0;1268;0;77570;1065
344;0;0;0;0;0;0;0;0;0;0;0;0;0;1065;147280
