85848;2693;393;383;550;318;610;433;425;689;451;592;493;479;429;676
2693;51794;3313;0;0;0;0;0;0;0;0;0;0;0;0;0
393;3313;41316;4056;0;0;0;0;0;0;0;0;0;0;0;0
383;0;4056;47574;4674;0;0;0;0;0;0;0;0;0;0;0
550;0;0;4674;54022;4918;0;0;0;0;0;0;0;0;0;0
318;0;0;0;4918;34156;4974;0;0;0;0;0;0;0;0;0
610;0;0;0;0;4974;58998;5112;0;0;0;0;0;0;0;0
433;0;0;0;0;0;5112;37326;5229;0;0;0;0;0;0;0
425;0;0;0;0;0;0;5229;39780;5182;0;0;0;0;0;0
689;0;0;0;0;0;0;0;5182;57930;5193;0;0;0;0;0
451;0;0;0;0;0;0;0;0;5193;34234;5132;0;0;0;0
592;0;0;0;0;0;0;0;0;0;5132;52066;4840;0;0;0
493;0;0;0;0;0;0;0;0;0;0;4840;49566;4505;0;0
479;0;0;0;0;0;0;0;0;0;0;0;4505;56076;3652;0
429;0;0;0;0;0;0;0;0;0;0;0;0;3652;50424;2414
676;0;0;0;0;0;0;0;0;0;0;0;0;0;2414;59034
