83262;1217;101;352;352;591;802;626;441;671;484;399;455;547;373;0
1217;59176;1693;0;0;0;0;0;0;0;0;0;0;0;0;0
101;1693;43734;1946;0;0;0;0;0;0;0;0;0;0;0;0
352;0;1946;54974;2496;0;0;0;0;0;0;0;0;0;0;0
352;0;0;2496;66856;2826;0;0;0;0;0;0;0;0;0;0
591;0;0;0;2826;45076;3105;0;0;0;0;0;0;0;0;0
802;0;0;0;0;3105;49326;3219;0;0;0;0;0;0;0;0
626;0;0;0;0;0;3219;45124;3221;0;0;0;0;0;0;0
441;0;0;0;0;0;0;3221;49336;3253;0;0;0;0;0;0
671;0;0;0;0;0;0;0;3253;72042;2998;0;0;0;0;0
484;0;0;0;0;0;0;0;0;2998;41378;3009;0;0;0;0
399;0;0;0;0;0;0;0;0;0;3009;62462;2772;0;0;0
455;0;0;0;0;0;0;0;0;0;0;2772;60078;2427;0;0
547;0;0;0;0;0;0;0;0;0;0;0;2427;50354;2120;0
373;0;0;0;0;0;0;0;0;0;0;0;0;2120;61222;1295
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1295;60538
