time_s;f0_hz;confidence;rms;overtone_count
7.90;159.78;0.9703;0.226332;7
7.95;159.78;0.9720;0.256278;7
8.00;160.95;0.9639;0.300256;7
8.05;162.13;0.9699;0.326761;6
8.10;162.13;0.9698;0.319915;6
8.15;160.95;0.9682;0.281396;6
8.20;163.33;0.9567;0.255292;6
8.25;168.32;0.9643;0.280175;6
8.30;169.62;0.9746;0.301241;6
8.35;168.32;0.9707;0.298890;6
8.40;168.32;0.9718;0.297558;6
8.45;168.32;0.9727;0.291745;5
8.50;169.62;0.9689;0.280669;6
8.55;170.93;0.9725;0.304284;6
8.60;170.93;0.9764;0.317623;6
8.65;170.93;0.9735;0.307071;6
8.70;172.27;0.9717;0.290487;6
8.75;173.62;0.9629;0.282820;6
8.80;172.27;0.9674;0.276752;6
8.85;172.27;0.9748;0.260296;6
8.90;172.27;0.9511;0.267915;6
8.95;176.40;0.9734;0.340540;6
9.00;176.40;0.9786;0.381787;5
9.05;176.40;0.9761;0.366280;5
9.10;177.82;0.9748;0.372298;5
9.15;180.74;0.9741;0.378686;5
9.20;182.23;0.9747;0.355411;5
9.25;182.23;0.9787;0.326049;5
9.30;182.23;0.9792;0.301493;5
9.35;182.23;0.9800;0.281020;5
9.40;182.23;0.9797;0.269406;5
9.45;183.75;0.9765;0.306590;5
9.50;185.29;0.9779;0.346613;5
9.55;185.29;0.9750;0.355363;5
9.60;185.29;0.9794;0.352574;5
9.65;185.29;0.9790;0.328847;5
9.70;186.86;0.9786;0.329635;5
9.75;188.46;0.9784;0.351151;5
9.80;190.09;0.9795;0.351642;5
9.85;190.09;0.9790;0.358235;5
9.90;191.74;0.9721;0.334804;5
9.95;195.13;0.9686;0.290328;5
10.00;196.88;0.9748;0.270930;5
10.05;195.13;0.9778;0.244075;5
10.10;196.88;0.9818;0.233540;5
10.15;196.88;0.9821;0.260292;5
10.20;198.65;0.9739;0.306859;5
10.25;198.65;0.9824;0.322830;5
10.30;196.88;0.9792;0.310083;5
10.35;198.65;0.9777;0.300256;5
10.40;200.45;0.9717;0.295293;5
10.45;202.29;0.9800;0.309256;5
10.50;202.29;0.9832;0.337572;5
10.55;202.29;0.9823;0.355157;5
10.60;204.17;0.9690;0.343923;5
10.65;208.02;0.9794;0.336228;5
10.70;210.00;0.9831;0.325334;5
10.75;210.00;0.9824;0.289946;5
10.80;210.00;0.9845;0.254272;4
10.85;210.00;0.9803;0.228299;5
10.90;210.00;0.9801;0.225285;5
10.95;212.02;0.9762;0.295796;3
11.00;216.18;0.9812;0.365291;4
11.04;216.18;0.9836;0.390027;4
11.09;218.32;0.9781;0.376862;4
11.14;222.73;0.9799;0.341092;4
11.19;220.50;0.9691;0.340375;4
11.24;214.08;0.9794;0.351194;4
11.29;220.50;0.9574;0.342255;4
11.34;227.32;0.9786;0.348856;4
11.39;227.32;0.9842;0.369068;3
11.44;227.32;0.9856;0.366485;4
11.49;225.00;0.9827;0.330881;4
11.54;225.00;0.9823;0.312011;3
11.59;225.00;0.9772;0.345029;4
11.64;229.69;0.9846;0.372009;4
11.69;229.69;0.9855;0.370666;4
11.74;229.69;0.9859;0.365689;3
11.79;234.57;0.9819;0.364853;3
11.84;234.57;0.9848;0.338010;3
11.89;234.57;0.9833;0.302369;2
11.94;232.11;0.9870;0.316233;2
11.99;229.69;0.9829;0.345267;3
12.04;229.69;0.9863;0.326014;3
12.09;229.69;0.9834;0.330336;3
12.14;232.11;0.9792;0.365299;4
12.19;237.10;0.9846;0.362049;4
12.24;234.57;0.9762;0.337762;4
12.29;229.69;0.9859;0.308827;4
12.34;234.57;0.9813;0.325153;4
12.39;237.10;0.9810;0.310640;4
12.44;227.32;0.8991;0.203987;4
12.49;138.68;0.4734;0.083676;7
