index;symbol_name;symbol_char;left;top;right;bottom;width;height
1;alef;א;625;23;670;72;46;50
2;nun;נ;577;23;600;73;24;51
3;yod;י;543;35;552;60;10;26
4;alef;א;453;23;498;72;46;50
5;vav;ו;419;23;428;72;10;50
6;he;ה;351;23;394;73;44;51
7;bet;ב;279;23;326;73;48;51
8;alef;א;189;24;234;73;46;50
9;vav;ו;155;24;164;73;10;50
10;tav;ת;78;23;130;73;53;51
11;final_kaf;ך;14;14;53;83;40;70
